eventID,year,month,day,longitude,latitude,magnitude,sigmaMagnitude
386,1609,1,16,-0.567,47.433,4.7,0.49
387,1610,1,3,4.75,44.55,2.6,0.94
388,1610,5,14,7.867,44.083,4.6,0.43
389,1610,11,29,7.6,47.55,4.5,0.53
390,1611,1,15,7.233,44.9,2.6,0.65
391,1612,1,31,7.613,43.949,4.77,0.3
392,1612,2,29,7.6,47.55,3.1,0.55
393,1612,11,7,8.65,52,4.6,0.3
394,1614,2,27,7.6,47.5,3.8,0.53
395,1614,5,22,7.1,47.817,3.7,0.52
396,1614,8,27,-1.65,48.583,3.6,0.5
397,1614,10,5,7.833,47.6,3.8,0.53
398,1617,5,3,2.5,46.05,3.7,0.52
399,1617,9,18,-1.65,48.583,3.2,0.51
400,1618,1,18,7.283,43.883,5.7,0.5
401,1618,7,3,-0.617,43.2,5.1,0.48
402,1619,1,19,8.506,50.205,3.74,0.36
403,1619,2,8,6.933,47,3,0.54
404,1619,4,30,-1.967,48.583,4.3,0.49
405,1619,8,11,-1.05,46.817,4.3,0.49
406,1620,1,15,6.933,47,3,0.54
407,1620,2,20,7.67,50.17,4.46,0.5
408,1620,9,4,-0.55,46.067,3.2,0.51
409,1620,12,15,6.183,46.217,3.9,0.67
410,1621,5,30,6.86,46.98,4.54,0.6
411,1621,5,30,7.283,47.117,5.5,0.46
412,1622,2,1,5.1,43.65,3.9,0.63
413,1622,5,19,-2.983,47.667,4,0.49
414,1622,8,3,10.23,46.82,5.22,0.6
415,1623,1,9,7.333,47.75,3.1,0.55
416,1623,7,6,7.017,46.233,3,0.54
417,1623,7,29,9.55,47.017,3.9,0.67
418,1623,8,10,7.017,46.233,3,0.54
419,1624,4,6,2.3,49.9,3,0.54
420,1624,11,18,7.54,47.2,3.9,0.67
421,1624,12,26,6.633,44.9,3.3,0.63
422,1625,1,8,4.383,45.433,3.1,0.55
423,1625,2,22,8.4,46.817,3.5,0.67
424,1625,3,7,6.933,47,3,0.54
425,1625,5,8,0.167,43,5.7,0.44
426,1627,1,24,8,48.133,4.2,0.43
427,1627,7,5,-0.083,42.983,3.6,0.54
428,1627,9,24,7.267,43.7,3,0.54
429,1628,8,27,-0.55,47.467,4,0.49
430,1628,11,4,10.329,44.801,4.99,0.33
431,1629,1,15,5.7,46.833,3.3,0.5
432,1630,5,15,10.689,43.894,4.51,0.34
433,1630,6,15,6.817,47.367,4.4,0.43
434,1630,7,5,7.567,47.467,3.5,0.67
435,1630,12,24,7.6,47.733,3.9,0.67
436,1631,1,8,7.767,47.267,4.5,0.43
437,1631,9,16,3.883,45.033,3.8,0.53
438,1636,6,15,7.45,48.267,3.7,0.52
439,1637,6,27,8.64,47.7,3.9,0.67
440,1637,11,20,9.322,44.317,4.72,0.34
441,1638,3,15,8.583,46.583,3.5,0.67
442,1639,1,13,3.133,45.367,3.9,0.44
443,1639,2,1,10.32,46.83,2.4,0.67
444,1639,2,16,-0.9,46,4,0.49
445,1639,6,3,-1.15,46.167,3.2,0.51
446,1640,4,4,6.278,50.339,5.46,0.46
447,1640,7,6,-1.367,48.933,5.2,0.42
448,1641,1,9,7.333,47.75,3.1,0.55
449,1641,6,8,9.882,44.377,4.72,0.34
450,1641,10,21,7.017,46.233,3,0.54
